"","name","rank","winner","final","semi_final","quarter_final","round_4","round_3","round_2","round_1"
"118","Mayer L.",118,0,0.4,0.3,1.1,1.2,1.9,4.2,90.9
"119","Polmans M.",119,0,0.4,0.6,1.1,2.1,4.5,10.8,80.5
"120","Jung J.",120,0,1.1,2.7,2.4,4.3,8.4,23.7,57.4
"121","Lorenzi P.",121,0,0.7,0.7,1.2,1.4,3.4,5.1,87.5
"122","Kovalik J.",122,0,0.8,0.8,1.8,3,5.2,13.4,75
"123","Anderson K.",123,0,1.2,2.8,3,4.8,14,25,49.2
"124","Karlovic I.",124,0,1,1.2,3.2,4.2,7.4,18.9,64.1
"125","Gojowczyk P.",125,0,1.1,0.7,0.9,3.6,7.6,14,72.1
"126","Klahn B.",126,0,0.1,0,0,0.1,0.2,0.6,99
"127","Nagal S.",127,0,0,0.1,0.1,0,0,0.7,99.1
"128","Del Potro J.M.",128,0,0,0,0,0,0.2,0.4,99.4
